threshold,aep,longitude,latitude,hit
0.1000000000,0.0000005200,38.9014700000,-47.5989208633,1
0.1000000000,0.0000005200,38.9463800000,-47.5989208633,1
0.1000000000,0.0000005200,38.9913000000,-47.5989208633,1
0.1000000000,0.0000005200,38.7218100000,-47.5539568345,1
0.1000000000,0.0000010400,38.7667200000,-47.5539568345,1
0.1000000000,0.0000010400,38.8116400000,-47.5539568345,1
0.1000000000,0.0000010400,38.8565500000,-47.5539568345,1
0.1000000000,0.0000010400,38.9014700000,-47.5539568345,1
0.1000000000,0.0000005200,38.9463800000,-47.5539568345,1
0.1000000000,0.0000005200,38.1379000000,-47.5089928058,1
0.1000000000,0.0000010400,38.6319700000,-47.5089928058,1
0.1000000000,0.0000010400,38.6768900000,-47.5089928058,1
0.1000000000,0.0000010400,38.7218100000,-47.5089928058,1
0.1000000000,0.0000010400,38.7667200000,-47.5089928058,1
0.1000000000,0.0000010400,38.8116400000,-47.5089928058,1
0.1000000000,0.0000010400,38.8565500000,-47.5089928058,1
0.1000000000,0.0000005200,38.0031500000,-47.4640287770,1
0.1000000000,0.0000005200,38.0480700000,-47.4640287770,1
0.1000000000,0.0000005200,38.0929800000,-47.4640287770,1
0.1000000000,0.0000005200,38.1379000000,-47.4640287770,1
0.1000000000,0.0000010400,38.1828200000,-47.4640287770,1
0.1000000000,0.0000005200,38.2277300000,-47.4640287770,1
0.1000000000,0.0000005200,38.2726500000,-47.4640287770,1
0.1000000000,0.0000005200,38.3175600000,-47.4640287770,1
0.1000000000,0.0000005200,38.3624800000,-47.4640287770,1
0.1000000000,0.0000010400,38.5421400000,-47.4640287770,1
0.1000000000,0.0000010400,38.5870600000,-47.4640287770,1
0.1000000000,0.0000010400,38.6319700000,-47.4640287770,1
0.1000000000,0.0000015600,38.6768900000,-47.4640287770,1
0.1000000000,0.0000015600,38.7218100000,-47.4640287770,1
0.1000000000,0.0000015600,38.7667200000,-47.4640287770,1
0.1000000000,0.0000015600,38.8116400000,-47.4640287770,1
0.1000000000,0.0000005200,38.8565500000,-47.4640287770,1
0.1000000000,0.0000010400,37.9582400000,-47.4190647482,1
0.1000000000,0.0000010400,38.0031500000,-47.4190647482,1
0.1000000000,0.0000010400,38.0480700000,-47.4190647482,1
0.1000000000,0.0000015600,38.0929800000,-47.4190647482,1
0.1000000000,0.0000010400,38.1379000000,-47.4190647482,1
0.1000000000,0.0000010400,38.1828200000,-47.4190647482,1
0.1000000000,0.0000015600,38.2277300000,-47.4190647482,1
0.1000000000,0.0000015600,38.2726500000,-47.4190647482,1
0.1000000000,0.0000010400,38.3175600000,-47.4190647482,1
0.1000000000,0.0000015600,38.3624800000,-47.4190647482,1
0.1000000000,0.0000015600,38.4074000000,-47.4190647482,1
0.1000000000,0.0000010400,38.4523100000,-47.4190647482,1
0.1000000000,0.0000010400,38.4972300000,-47.4190647482,1
0.1000000000,0.0000010400,38.5421400000,-47.4190647482,1
0.1000000000,0.0000015600,38.5870600000,-47.4190647482,1
0.1000000000,0.0000015600,38.6319700000,-47.4190647482,1
0.1000000000,0.0000020799,38.6768900000,-47.4190647482,1
0.1000000000,0.0000015600,38.7218100000,-47.4190647482,1
0.1000000000,0.0000005200,38.7667200000,-47.4190647482,1
0.1000000000,0.0000005200,38.8116400000,-47.4190647482,1
0.1000000000,0.0000005200,38.8565500000,-47.4190647482,1
0.1000000000,0.0000010400,37.6887400000,-47.3741007194,1
0.1000000000,0.0000025999,37.7336600000,-47.3741007194,1
0.1000000000,0.0000015600,37.7785700000,-47.3741007194,1
0.1000000000,0.0000010400,37.9133200000,-47.3741007194,1
0.1000000000,0.0000010400,37.9582400000,-47.3741007194,1
0.1000000000,0.0000010400,38.0031500000,-47.3741007194,1
0.1000000000,0.0000015600,38.0480700000,-47.3741007194,1
0.1000000000,0.0000015600,38.0929800000,-47.3741007194,1
0.1000000000,0.0000020799,38.1379000000,-47.3741007194,1
0.1000000000,0.0000015600,38.1828200000,-47.3741007194,1
0.1000000000,0.0000015600,38.2277300000,-47.3741007194,1
0.1000000000,0.0000020799,38.2726500000,-47.3741007194,1
0.1000000000,0.0000025999,38.3175600000,-47.3741007194,1
0.1000000000,0.0000031199,38.3624800000,-47.3741007194,1
0.1000000000,0.0000020799,38.4074000000,-47.3741007194,1
0.1000000000,0.0000010400,38.4523100000,-47.3741007194,1
0.1000000000,0.0000015600,38.4972300000,-47.3741007194,1
0.1000000000,0.0000020799,38.5421400000,-47.3741007194,1
0.1000000000,0.0000020799,38.5870600000,-47.3741007194,1
0.1000000000,0.0000020799,38.6319700000,-47.3741007194,1
0.1000000000,0.0000015600,38.6768900000,-47.3741007194,1
0.1000000000,0.0000005200,38.7218100000,-47.3741007194,1
0.1000000000,0.0000005200,38.7667200000,-47.3741007194,1
0.1000000000,0.0000005200,38.8116400000,-47.3741007194,1
0.1000000000,0.0000005200,37.6438300000,-47.3291366906,1
0.1000000000,0.0000025999,37.6887400000,-47.3291366906,1
0.1000000000,0.0000025999,37.7336600000,-47.3291366906,1
0.1000000000,0.0000025999,37.7785700000,-47.3291366906,1
0.1000000000,0.0000015600,37.8234900000,-47.3291366906,1
0.1000000000,0.0000010400,37.8684100000,-47.3291366906,1
0.1000000000,0.0000010400,37.9133200000,-47.3291366906,1
0.1000000000,0.0000010400,37.9582400000,-47.3291366906,1
